year,stname,fem15,fem16,fem17,fem18,fem19,fem20,fem21,fem22,fem23,fem24,fem25,fem26,fem27,fem28,fem29,fem30,fem31,fem32,fem33,fem34,fem35,fem36,fem37,fem38,fem39,fem40,fem41,fem42,fem43,fem44,fem1519,fem2034,fem3544,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819
1980,AK,3543,3565,3632,3248,3497,3638,3821,3929,4380,4703,4843,4749,4821,4410,4483,4444,4193,4027,4066,3230,3173,3071,3042,2634,2535,2383,2138,2029,1972,1855,17485,63737,24832,0.20263083279132843,0.20388904213905334,0.20772090554237366,0.18575921654701233,0.20000000298023224,0.05707830563187599,0.05994947999715805,0.061643943190574646,0.06871989369392395,0.073787592351436615,0.07598412036895752,0.07450931519269943,0.07563895732164383,0.06919057667255402,0.07033590972423553,0.06972402334213257,0.0657859668135643,0.06318151205778122,0.06379339843988419,0.05067700147628784,0.12777867913246155,0.12367106974124908,0.12250322103500366,0.1060728058218956,0.10208601504564285,0.09596488624811172,0.0860985815525055,0.08170908689498901,0.07941365987062454,0.07470199465751648,0.38575923442840576
1981,AK,3551,3657,3812,3420,3631,3418,3511,3644,4014,4377,5037,4883,4946,4579,4673,4782,4419,4251,4061,4694,3213,3130,3004,3066,2788,2582,2262,2158,2139,1960,18071,65289,26302,0.196502685546875,0.20236843824386597,0.2109457105398178,0.18925349414348602,0.2009296715259552,0.052351851016283035,0.05377628654241562,0.05581338331103325,0.06148049607872963,0.06704039126634598,0.07714928686618805,0.07479054480791092,0.07575548440217972,0.07013432681560516,0.07157407701015472,0.07324358075857162,0.06768368184566498,0.06511051207780838,0.06220037117600441,0.07189572602510452,0.12215801328420639,0.11900235712528229,0.11421184986829758,0.11656907945871353,0.10599954426288605,0.09816744178533554,0.08600106090307236,0.0820469930768013,0.08132461458444595,0.07451904565095901,0.39018315076828003
1982,AK,3767,3734,3993,3647,3870,3332,3520,3603,3972,4312,5343,5231,5238,4864,5040,5309,5049,4743,4563,4919,4681,3300,3230,3171,3414,2968,2536,2354,2326,2194,19011,69038,30174,0.1981484442949295,0.1964126080274582,0.2100362926721573,0.19183631241321564,0.20356635749340057,0.048263274133205414,0.05098641291260719,0.05218864977359772,0.05753353238105774,0.062458354979753494,0.07739216089248657,0.07576986402273178,0.07587125897407532,0.0704539492726326,0.07300327718257904,0.07689967751502991,0.07313363999128342,0.06870129704475403,0.06609403342008591,0.07125061750411987,0.15513356029987335,0.10936567932367325,0.10704579949378967,0.10509047657251358,0.11314376443624496,0.09836282581090927,0.08404586464166641,0.07801418751478195,0.07708623260259628,0.07271160930395126,0.3954026699066162
1983,AK,3929,3897,3986,3716,4032,3504,3668,3884,4175,4562,5470,5488,5541,5110,5345,5982,5672,5507,5155,5559,4794,4848,3500,3449,3589,3651,2969,2668,2555,2437,19560,74622,34460,0.2008691132068634,0.19923312962055206,0.20378322899341583,0.18997955322265625,0.20613497495651245,0.046956662088632584,0.04915440455079079,0.05204899236559868,0.0559486486017704,0.061134785413742065,0.07330277562141418,0.07354399561882019,0.07425424456596375,0.06847846508026123,0.0716276690363884,0.08016403019428253,0.07600975781679153,0.07379861176013947,0.06908150762319565,0.07449545711278915,0.13911782205104828,0.14068485796451569,0.10156703740358353,0.10008705407381058,0.10414973646402359,0.10594892501831055,0.08615786582231522,0.077423095703125,0.07414393872022629,0.07071967422962189,0.3961145281791687
1984,AK,4121,3922,3994,3550,3948,3603,3748,3941,4369,4680,5345,5356,5528,5161,5384,6335,6142,5910,5711,5941,5046,4743,4958,3555,3745,3679,3523,2984,2797,2612,19535,77154,37642,0.2109546959400177,0.2007678598165512,0.20445354282855988,0.18172511458396912,0.2020988017320633,0.046698808670043945,0.0485781691968441,0.05107966065406799,0.05662700533866882,0.06065790355205536,0.06927703320980072,0.06941960006952286,0.07164891064167023,0.06689219176769257,0.06978251039981842,0.0821085125207901,0.07960701733827591,0.07660004496574402,0.07402078807353973,0.07700183987617493,0.13405238091945648,0.12600286304950714,0.1317145675420761,0.09444237500429153,0.09948993474245071,0.09773656725883484,0.09359226375818253,0.07927314937114716,0.07430529594421387,0.06939057260751724,0.3838239312171936
1985,AK,4304,4094,3970,3529,3736,3603,3819,4032,4407,4889,5035,5099,5227,5015,5327,6529,6353,6218,5993,6360,5256,4919,4810,4945,3825,3751,3468,3452,3033,2818,19633,77906,40277,0.21922273933887482,0.20852646231651306,0.20221056044101715,0.17974838614463806,0.1902918517589569,0.04624804109334946,0.049020614475011826,0.051754679530858994,0.056568171828985214,0.06275511533021927,0.06462916731834412,0.06545066833496094,0.06709367781877518,0.06437245011329651,0.06837727874517441,0.0838061273097992,0.08154699206352234,0.0798141360282898,0.07692603766918182,0.08163684606552124,0.1304963082075119,0.12212925404310226,0.11942299455404282,0.12277478724718094,0.09496735036373138,0.09313007444143295,0.08610372990369797,0.08570647984743118,0.07530352473258972,0.06996548920869827,0.37004023790359497
1986,AK,4391,4238,4072,3438,3626,3579,3844,4159,4523,4968,4766,4765,4937,4713,5163,6643,6428,6316,6173,6476,5536,4972,4896,4675,5214,3708,3458,3321,3428,3010,19765,77453,42218,0.22216038405895233,0.214419424533844,0.20602074265480042,0.17394384741783142,0.18345560133457184,0.04620866850018501,0.049630098044872284,0.05369707942008972,0.058396704494953156,0.0641421228647232,0.0615340918302536,0.06152117997407913,0.06374188512563705,0.06084980443120003,0.06665977835655212,0.08576814085245132,0.08299226313829422,0.08154622465372086,0.07969994843006134,0.08361199498176575,0.13112890720367432,0.11776967346668243,0.11596949398517609,0.11073476076126099,0.12350182235240936,0.0878298357129097,0.08190818876028061,0.07866313308477402,0.0811975970864296,0.07129660248756409,0.35739946365356445
1987,AK,3994,4202,4095,3430,3436,3495,3608,3971,4412,4850,4363,4526,4608,4454,4884,6387,6294,6128,6008,6341,5535,5078,4855,4582,4833,4861,3317,3209,3180,3328,19157,74329,42778,0.20848776400089264,0.21934540569782257,0.21375998854637146,0.17904682457447052,0.179360032081604,0.04702067747712135,0.04854094609618187,0.053424637764692307,0.059357721358537674,0.0652504414319992,0.058698490262031555,0.060891442000865936,0.06199464574456215,0.059922777116298676,0.06570786982774734,0.085928775370121,0.08467758446931839,0.08244426548480988,0.08082982152700424,0.08530990779399872,0.1293889433145523,0.1187058761715889,0.11349291354417801,0.1071111336350441,0.11297863721847534,0.1136331781744957,0.0775398537516594,0.07501519471406937,0.07433727383613586,0.07779699563980103,0.35840684175491333
1988,AK,3754,3872,4076,3463,3457,3421,3509,3729,4189,4718,4411,4515,4789,4552,5086,6111,6179,6125,5956,6243,5765,5235,5127,4689,4911,4610,4534,3194,3181,3236,18622,73533,44482,0.20158952474594116,0.20792610943317413,0.21888089179992676,0.18596284091472626,0.1856406331062317,0.0465233288705349,0.04772007092833519,0.05071192607283592,0.05696761980652809,0.06416166573762894,0.059986673295497894,0.06140100210905075,0.06512722373008728,0.0619041807949543,0.06916622817516327,0.08310554176568985,0.08403030037879944,0.08329593390226364,0.08099764585494995,0.08490065485239029,0.12960298359394073,0.11768805235624313,0.11526010185480118,0.10541342198848724,0.11040420830249786,0.10363742709159851,0.10192886739969254,0.07180432230234146,0.07151207327842712,0.07274852693080902,0.37160348892211914
1989,AK,3639,3666,3766,3464,3488,3510,3411,3625,3922,4490,4517,4680,4905,4847,5386,5841,5900,5987,5918,6102,5909,5374,5273,4889,4973,4684,4294,4341,3176,3265,18023,73041,46178,0.201908677816391,0.20340675115585327,0.20895522832870483,0.19219885766506195,0.19353048503398895,0.04805520176887512,0.046699799597263336,0.049629658460617065,0.05369586870074272,0.061472322791814804,0.06184197962284088,0.0640735998749733,0.06715406477451324,0.0663599893450737,0.07373940944671631,0.07996878772974014,0.08077654987573624,0.08196765929460526,0.08102298527956009,0.0835421234369278,0.12796136736869812,0.11637576669454575,0.11418857425451279,0.10587292909622192,0.10769197344779968,0.10143358260393143,0.09298799932003021,0.09400580078363419,0.06877733767032623,0.07070466130971909,0.3857293426990509
