year,stname,numbirth_hispnativeb_nonmex,numbirth_hisp_nonmexican_nativeb,numbirth_hispforb_other,numbirth_hispforb_mex,numbirth_hisp_mexican_nativeb,numbirth_educ_miss_hispforb,numbirth_gtc_hispforb,numbirth_ba_hispforb,numbirth_somecoll_hispforb,numbirth_hsgrad_hispforb,numbirth_lesshs_hispforb,numbirth_hisp_nonnativeb3544,numbirth_hisp_nonnativeb2534,numbirth_hisp_nonnativeb2024,numbirth_hisp_nonnativeb1519,numbirth_hisp_missnativeb,numbirth_hisp_nonnativeb,numbirth_hisp_nativeb,numbirth_educ_miss_hisp_3544,numbirth_gtc_hisp_3544,numbirth_ba_hisp_3544,numbirth_somecoll_hisp_3544,numbirth_hsgrad_hisp_3544,numbirth_lesshs_hisp_3544,numbirth_educ_miss_hisp_2534,numbirth_gtc_hisp_2534,numbirth_ba_hisp_2534,numbirth_somecoll_hisp_2534,numbirth_hsgrad_hisp_2534,numbirth_lesshs_hisp_2534,numbirth_educ_miss_hisp_2024,numbirth_gtc_hisp_2024,numbirth_ba_hisp_2024,numbirth_somecoll_hisp_2024,numbirth_hsgrad_hisp_2024,numbirth_lesshs_hisp_2024,numbirth_educ_miss_hisp_1519,numbirth_gtc_hisp_1519,numbirth_ba_hisp_1519,numbirth_somecoll_hisp_1519,numbirth_hsgrad_hisp_1519,numbirth_lesshs_hisp_1519,numbirth_educ_miss_blacknh_3544,numbirth_gtc_blacknh_3544,numbirth_ba_blacknh_3544,numbirth_somecoll_blacknh_3544,numbirth_hsgrad_blacknh_3544,numbirth_lesshs_blacknh_3544,numbirth_educ_miss_blacknh_2534,numbirth_gtc_blacknh_2534,numbirth_ba_blacknh_2534,numbirth_somecoll_blacknh_2534,numbirth_hsgrad_blacknh_2534,numbirth_lesshs_blacknh_2534,numbirth_educ_miss_blacknh_2024,numbirth_gtc_blacknh_2024,numbirth_ba_blacknh_2024,numbirth_somecoll_blacknh_2024,numbirth_hsgrad_blacknh_2024,numbirth_lesshs_blacknh_2024,numbirth_educ_miss_blacknh_1519,numbirth_gtc_blacknh_1519,numbirth_ba_blacknh_1519,numbirth_somecoll_blacknh_1519,numbirth_hsgrad_blacknh_1519,numbirth_lesshs_blacknh_1519,numbirth_educ_miss_whitenh_3544,numbirth_gtc_whitenh_3544,numbirth_ba_whitenh_3544,numbirth_somecoll_whitenh_3544,numbirth_hsgrad_whitenh_3544,numbirth_lesshs_whitenh_3544,numbirth_educ_miss_whitenh_2534,numbirth_gtc_whitenh_2534,numbirth_ba_whitenh_2534,numbirth_somecoll_whitenh_2534,numbirth_hsgrad_whitenh_2534,numbirth_lesshs_whitenh_2534,numbirth_educ_miss_whitenh_2024,numbirth_gtc_whitenh_2024,numbirth_ba_whitenh_2024,numbirth_somecoll_whitenh_2024,numbirth_hsgrad_whitenh_2024,numbirth_lesshs_whitenh_2024,numbirth_educ_miss_whitenh_1519,numbirth_gtc_whitenh_1519,numbirth_ba_whitenh_1519,numbirth_somecoll_whitenh_1519,numbirth_hsgrad_whitenh_1519,numbirth_lesshs_whitenh_1519,numbirth_educ_miss_3544,numbirth_gtc_3544,numbirth_ba_3544,numbirth_somecoll_3544,numbirth_hsgrad_3544,numbirth_lesshs_3544,numbirth_educ_miss_2534,numbirth_gtc_2534,numbirth_ba_2534,numbirth_somecoll_2534,numbirth_hsgrad_2534,numbirth_lesshs_2534,numbirth_educ_miss_2024,numbirth_gtc_2024,numbirth_ba_2024,numbirth_somecoll_2024,numbirth_hsgrad_2024,numbirth_lesshs_2024,numbirth_married,numbirth_unmarried,numbirth_hisp,numbirth_blacknh,numbirth_whitenh,numbirth_educ_miss_45plus,numbirth_gtc_45plus,numbirth_ba_45plus,numbirth_somecoll_45plus,numbirth_hsgrad_45plus,numbirth_lesshs_45plus,numbirth_educ_miss_1519,numbirth_gtc_1519,numbirth_ba_1519,numbirth_somecoll_1519,numbirth_hsgrad_1519,numbirth_lesshs_1519,numbirth_educ_miss,numbirth_gtc,numbirth_ba,numbirth_somecoll,numbirth_hsgrad,numbirth_lesshs,numbirth45plus,numbirth4044,numbirth3539,numbirth3034,numbirth2529,numbirth2024,numbirth1519,state,pop,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,pop30,pop31,pop32,pop33,pop34,pop35,pop36,pop37,pop38,pop39,pop40,pop41,pop42,pop43,pop44,pop1519,pop2024,pop2534,pop2034,pop3544,pop45plus,popwhitenh1519,popwhitenh2024,popwhitenh2534,popwhitenh2034,popwhitenh3544,popwhitenh45plus,popblacknh1519,popblacknh2024,popblacknh2534,popblacknh2034,popblacknh3544,popblacknh45plus,pophispanic1519,pophispanic2024,pophispanic2534,pophispanic2034,pophispanic3544,pophispanic45plus,popotherrace1519,popotherrace2024,popotherrace2534,popotherrace2034,popotherrace3544,popotherrace45plus,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819,pop2045plus,popwhite1544,popblack1544,pophispanic1544,numbirth2034,numbirth3544,numbirth1544,numbirth1545plus,pop1544,brate1519,brate2034,brate3544,brate1544,numbirth_colgrad_1519,numbirth_colgrad_2024,numbirth_colgrad_2534,numbirth_colgrad_3544,numbirth_colgrad,numbirth_alleduc,numbirth_whitenhblacknhhisp,numbirth_marriedunmarried,numbirth_noorderbirth_2044,numbirth_fourthbirth_2044,numbirth_thirdbirth_2044,numbirth_secondbirth_2044,numbirth_firstbirth_2044,numbirth_noorderbirth,numbirth_fourthbirth,numbirth_thirdbirth,numbirth_secondbirth,numbirth_firstbirth
1990,AK,64,10728,74,61,127,2,8,8,32,63,22,9,77,39,10,2,135,191,0,2,2,9,7,1,1,10,14,53,70,15,0,0,2,23,64,17,2,0,0,1,15,20,0,2,8,11,11,1,8,18,27,95,86,8,3,0,7,64,92,19,1,0,0,3,36,26,13,251,195,266,188,18,63,402,767,1307,1399,210,16,11,73,525,1143,281,9,0,0,37,261,339,24,271,234,356,334,58,104,463,899,1722,2445,527,29,12,95,766,1883,517,8784,3097,328,526,7774,NA,NA,NA,NA,1,2,18,0,0,54,467,603,157,746,1228,2844,4662,1102,3,148,1129,2551,3609,3302,1142,2,137191,3799,3670,3545,3224,3414,3519,3401,3453,3704,4092,4508,4765,4994,4991,5666,5643,5646,5731,5822,5950,5985,5445,5341,4964,5056,4801,4390,4152,4301,3219,17652,18169,53716,71885,47654,0,12235,12465,39881,52346,37795,37795,690,1029,2349,3378,1273,0,622,688,1699,2387,1233,0,4105,3987,9787,13774,7353,0,0.21521641314029694,0.20790845155715942,0.20082710683345795,0.18264219164848328,0.1934058517217636,0.04895319044589996,0.047311678528785706,0.04803505539894104,0.0515267439186573,0.056924253702163696,0.06271127611398697,0.06628642976284027,0.06947207450866699,0.06943034380674362,0.07882034033536911,0.07850038260221481,0.07854211330413818,0.07972455769777298,0.08099047094583511,0.08277109265327454,0.12559281289577484,0.11426113545894623,0.11207873374223709,0.10416754335165024,0.10609812289476395,0.10074704885482788,0.092122383415699,0.08712805062532425,0.0902547538280487,0.06754942238330841,0.3760480284690857,119539,102376,5341,4242,9462,1277,11881,11884,137191,-2.738067865371704,-2.0277838706970215,-3.619452953338623,-2.4464335441589355,0,107,1362,505,1974,10582,8628,11881,5,1837,2055,3456,3386,5,1841,2097,3656,4285
1991,AK,89,10582,80,70,128,4,9,12,40,54,31,17,79,39,15,NA,150,217,1,7,7,9,13,4,3,6,16,54,63,16,1,0,4,33,57,17,3,0,0,2,23,28,0,2,3,17,12,3,2,13,17,118,85,9,1,2,4,52,89,11,0,0,0,6,28,31,16,221,202,284,224,21,41,396,716,1213,1397,187,16,9,78,602,998,264,5,0,0,52,295,306,22,239,237,390,409,89,78,450,831,1678,2418,482,35,12,94,815,1678,479,8529,3122,367,505,7543,NA,1,NA,1,11,5,17,0,0,70,512,616,135,701,1162,2883,4505,1050,18,215,1171,2500,3437,3113,1215,2,140601,3875,3854,3638,3510,3526,3387,3324,3333,3366,3741,4124,4496,4815,5011,5716,5824,5885,5867,5936,6090,6101,5785,5641,5293,5440,5064,4776,4461,4280,4442,18403,17151,53764,70915,51283,0,12742,11932,39615,51547,40630,40630,729,922,2329,3251,1437,0,678,733,1678,2411,1302,0,4254,3564,10142,13706,7914,0,0.21056349575519562,0.20942237973213196,0.19768516719341278,0.1907297670841217,0.19159919023513794,0.047761403024196625,0.04687301814556122,0.04699993133544922,0.04746527597308159,0.05275329574942589,0.05815412849187851,0.06339984387159348,0.06789819151163101,0.07066205888986588,0.08060353994369507,0.08212649077177048,0.08298667520284653,0.08273284882307053,0.0837058424949646,0.08587745577096939,0.11896730214357376,0.11280541121959686,0.1099974662065506,0.10321158915758133,0.10607803612947464,0.0987461730837822,0.09313027560710907,0.08698789030313492,0.08345845341682434,0.08661739528179169,0.38232895731925964,122198,104919,5417,4391,9050,1386,11651,11669,140601,-2.7177696228027344,-2.0587172508239746,-3.6109373569488525,-2.4905340671539307,0,106,1281,476,1863,10301,8415,11651,14,1844,2004,3210,3364,14,1860,2047,3436,4312
1992,AK,92,10564,86,61,133,2,13,15,33,52,32,18,85,34,10,NA,147,225,0,4,6,9,14,6,2,15,22,56,58,15,0,1,4,27,61,21,0,0,0,5,15,31,0,6,7,9,3,0,1,9,30,113,84,9,0,0,7,61,101,14,1,0,0,10,32,33,8,240,231,269,202,25,21,387,735,1313,1286,171,7,19,67,633,1005,279,3,0,0,46,299,330,15,261,271,342,352,86,59,446,887,1806,2229,447,26,27,90,858,1697,539,8504,3194,372,530,7576,NA,3,1,1,2,NA,15,0,0,71,509,665,100,734,1248,3006,4278,1072,7,190,1137,2540,3334,3237,1260,2,143955,4163,3860,3900,3578,3821,3553,3271,3334,3305,3432,3826,4157,4619,4930,5785,5932,6072,6101,6038,6216,6293,5904,6042,5623,5773,5484,5050,4888,4599,4406,19322,16895,53676,70571,54062,0,13393,11791,39057,50848,42549,42549,843,1031,2516,3547,1587,0,726,707,1726,2433,1410,0,4360,3366,10377,13743,8516,0,0.21545389294624329,0.19977228343486786,0.20184245705604553,0.1851775199174881,0.19775386154651642,0.050346460193395615,0.04635048285126686,0.04724320024251938,0.04683226719498634,0.04863187298178673,0.05421490594744682,0.0589052177965641,0.06545181572437286,0.06985872238874435,0.08197417855262756,0.08405718952417374,0.08604101091623306,0.0864519402384758,0.08555922657251358,0.08808150887489319,0.11640338599681854,0.10920794308185577,0.11176057159900665,0.104010209441185,0.10678480565547943,0.10143908858299255,0.09341126680374146,0.09041471034288406,0.08506899327039719,0.08149901777505875,0.3829313814640045,124633,106790,5977,4569,9111,1327,11698,11705,143955,-2.730132579803467,-2.0471367835998535,-3.7072107791900635,-2.510082960128784,0,117,1333,532,1982,10338,8478,11698,5,1788,1968,3394,3283,6,1793,2008,3616,4282
1993,AK,110,9902,109,73,147,3,8,18,40,63,49,20,99,45,17,NA,181,257,2,4,5,14,13,5,0,11,25,60,79,34,0,5,2,44,60,22,1,0,0,3,21,28,0,10,7,15,14,3,0,11,33,108,89,6,0,0,4,81,76,17,0,0,0,8,49,35,11,215,194,272,193,17,24,425,666,1234,1137,165,5,25,68,581,993,274,3,0,0,35,251,313,17,246,226,378,346,83,51,489,812,1673,2074,425,22,31,90,843,1596,471,7968,3088,438,566,7101,NA,NA,2,NA,2,NA,15,0,0,61,471,636,90,766,1128,2894,4016,979,4,208,1088,2384,3140,3053,1183,2,145197,4263,4129,3972,3693,3772,3806,3378,3243,3283,3347,3505,3804,4228,4718,5613,5940,6051,6167,6112,6170,6320,5988,6057,5919,5970,5730,5353,5082,4955,4629,19829,17057,52308,69365,56003,0,13689,11880,37623,49503,43708,43708,902,1104,2638,3742,1773,0,753,658,1783,2441,1557,0,4485,3415,10264,13679,8965,0,0.21498814225196838,0.2082303762435913,0.20031267404556274,0.18624237179756165,0.19022643566131592,0.05486917123198509,0.04869891330599785,0.0467526838183403,0.04732934385538101,0.04825200140476227,0.050529807806015015,0.054840337485075,0.06095293164253235,0.06801701337099075,0.0809197723865509,0.08563396334648132,0.08723419904708862,0.08890651166439056,0.08811359852552414,0.08894975483417511,0.1128510981798172,0.10692284256219864,0.10815492272377014,0.10569076985120773,0.10660143196582794,0.10231594741344452,0.09558416157960892,0.09074513614177704,0.08847740292549133,0.08265628665685654,0.37646880745887756,125368,106900,6417,4751,8577,1296,11056,11060,145197,-2.819092035293579,-2.0902981758117676,-3.766122579574585,-2.575118064880371,0,121,1301,472,1894,9783,8105,11056,9,1707,1890,3119,3148,12,1714,1908,3351,4075
1994,AK,183,9540,188,77,126,6,11,32,66,84,66,31,144,64,26,5,265,309,1,9,11,11,13,8,5,17,34,100,86,42,1,2,7,54,76,31,1,0,0,3,26,41,1,5,3,17,7,1,1,14,27,85,71,5,2,3,5,46,80,10,0,0,0,4,34,39,6,234,199,263,220,27,20,432,655,1164,1054,180,7,17,63,574,909,211,6,0,0,33,271,337,15,264,236,348,370,78,73,496,803,1602,1855,414,39,25,95,815,1503,411,7546,3106,579,460,6882,NA,2,1,4,NA,NA,24,0,0,55,489,642,127,785,1134,2765,3728,903,7,202,1109,2360,2883,2888,1210,2,145102,4455,4152,4244,3663,3822,3737,3585,3352,3187,3304,3395,3461,3877,4350,5368,5749,5949,6063,6084,6175,6227,5957,6072,5904,6181,5888,5512,5358,5116,4915,20336,17165,50471,67636,57130,0,13997,11991,36123,48114,44143,44143,899,912,2561,3473,1941,0,845,727,1820,2547,1590,0,4595,3535,9967,13502,9456,0,0.21906962990760803,0.20416994392871857,0.20869393646717072,0.1801239252090454,0.18794256448745728,0.05525163933634758,0.05300431698560715,0.04955940693616867,0.047119878232479095,0.04884972423315048,0.05019516125321388,0.05117097496986389,0.057321544736623764,0.06431486457586288,0.07936602085828781,0.08499911427497864,0.08795611560344696,0.08964160829782486,0.08995209634304047,0.09129753708839417,0.10899702459573746,0.10427095741033554,0.10628391057252884,0.10334325581789017,0.1081918403506279,0.1030631884932518,0.09648171067237854,0.09378610551357269,0.08955015242099762,0.08603185415267944,0.3680664896965027,124766,106254,6313,4982,8131,1311,10652,10659,145102,-2.821772336959839,-2.1184563636779785,-3.7745392322540283,-2.611689329147339,0,120,1299,500,1919,9315,7921,10652,8,1581,1799,2876,3178,9,1592,1836,3075,4147
1995,AK,150,8997,186,90,147,7,20,22,54,96,77,39,157,55,25,1,276,297,1,4,8,20,20,12,4,30,26,77,111,35,2,2,2,40,68,37,2,0,0,5,29,39,0,4,4,13,5,0,0,9,18,66,65,6,1,4,3,48,88,8,1,0,0,6,44,28,12,246,181,247,247,18,48,514,564,1105,1003,145,9,48,57,510,895,174,10,0,0,36,261,237,29,269,205,338,387,73,95,608,657,1484,1829,341,50,64,71,718,1490,377,7175,3046,574,421,6567,NA,4,2,2,NA,NA,38,0,0,57,500,541,174,941,933,2540,3706,791,8,235,1066,2254,2760,2770,1136,2,145104,4648,4271,4339,3869,3735,3774,3533,3593,3325,3216,3395,3381,3570,4090,5003,5523,5761,5974,5924,6109,6251,5877,6054,5952,6121,6125,5665,5577,5401,5048,20862,17441,48730,66171,58071,0,14246,12085,34870,46955,44612,44612,882,887,2241,3128,1949,0,907,742,1826,2568,1660,0,4827,3727,9793,13520,9850,0,0.2227974236011505,0.20472629368305206,0.20798581838607788,0.18545681238174438,0.17903365194797516,0.057034049183130264,0.053391970694065094,0.05429871007800102,0.05024859681725502,0.04860135167837143,0.05130646377801895,0.051094889640808105,0.05395112559199333,0.06180955469608307,0.07560713589191437,0.0834655687212944,0.087062306702137,0.09028124064207077,0.08952562510967255,0.09232141077518463,0.10764408856630325,0.10120370239019394,0.1042516902089119,0.1024952232837677,0.10540544986724854,0.1054743304848671,0.09755299240350723,0.0960376113653183,0.09300683438777924,0.08692806959152222,0.36449044942855835,124242,105813,5959,5135,7784,1301,10221,10229,145104,-2.9104158878326416,-2.140172004699707,-3.7985332012176514,-2.6530063152313232,0,135,1265,474,1874,8911,7562,10221,17,1592,1695,2793,2988,18,1598,1723,2970,3920
1996,AK,187,8935,216,85,161,11,15,27,74,94,80,43,166,66,26,1,301,348,5,11,15,26,13,11,7,17,33,88,114,46,2,0,3,48,88,44,3,0,0,2,32,42,0,3,9,14,7,3,0,4,17,84,54,5,3,1,5,37,78,8,0,0,0,5,34,14,4,180,217,264,217,32,28,323,680,1041,1036,127,11,20,74,466,850,156,12,0,0,41,261,249,20,204,261,363,384,94,56,380,806,1438,1905,341,31,24,90,650,1482,387,6920,3092,650,385,6289,NA,3,1,4,1,NA,23,0,0,59,475,539,107,608,1157,2451,3771,822,9,264,1062,2192,2734,2664,1096,2,144757,4759,4503,4572,3899,3848,3703,3588,3539,3565,3372,3332,3389,3539,3800,4699,5148,5494,5740,5774,5931,6168,5862,5974,5922,6108,6087,5848,5726,5590,5278,21581,17767,46846,64613,58563,0,14713,12040,33322,45362,44672,44672,867,887,2005,2892,1920,0,921,852,1756,2608,1726,0,5080,3988,9763,13751,10245,0,0.2205180525779724,0.20865575969219208,0.2118530124425888,0.1806681752204895,0.178304985165596,0.057310447096824646,0.055530622601509094,0.054772257804870605,0.055174656212329865,0.052187640219926834,0.05156857147812843,0.052450746297836304,0.054772257804870605,0.058811694383621216,0.07272530347108841,0.0796743705868721,0.08502932637929916,0.08883661031723022,0.08936282247304916,0.09179267287254333,0.1053224727511406,0.10009732842445374,0.10200980305671692,0.10112186521291733,0.104297935962677,0.10393934696912766,0.09985826909542084,0.09777504205703735,0.09545276314020157,0.09012516587972641,0.3589731454849243,123176,104747,5679,5255,7590,1326,10012,10021,144757,-2.9801461696624756,-2.1415839195251465,-3.787936210632324,-2.671272039413452,0,114,1186,465,1765,8809,7324,10012,17,1607,1625,2863,2804,18,1612,1665,3028,3698
1997,AK,147,8824,207,96,157,4,9,31,73,109,77,35,178,65,25,1,303,304,0,6,8,26,25,10,6,16,38,86,111,46,0,2,3,44,74,33,0,0,0,7,30,37,0,3,5,14,16,3,0,7,18,76,67,9,2,0,2,55,88,11,1,0,0,6,29,29,6,148,221,279,211,21,20,292,668,1067,959,130,8,16,55,484,802,170,6,0,0,39,275,221,17,165,253,402,413,79,50,340,809,1461,1796,383,16,19,75,700,1419,422,6892,3026,608,441,6098,NA,2,1,3,3,1,15,0,0,66,519,499,83,524,1137,2563,3628,884,10,222,1107,2133,2706,2651,1099,2,143565,5092,4664,4795,3988,3774,3793,3506,3604,3541,3616,3523,3340,3535,3785,4360,4820,5061,5411,5448,5706,5948,5755,5914,5803,5988,6048,5744,5902,5697,5404,22313,18060,44989,63049,58203,0,15029,12118,31618,43736,43881,43881,912,863,2022,2885,1997,0,998,969,1753,2722,1821,0,5374,4110,9596,13706,10504,0,0.2282077670097351,0.20902612805366516,0.21489714086055756,0.17872989177703857,0.1691390722990036,0.06015956029295921,0.055607542395591736,0.05716188997030258,0.05616266652941704,0.0573522187769413,0.05587717518210411,0.05297467112541199,0.05606750398874283,0.0600326731801033,0.06915256381034851,0.0764484778046608,0.08027090132236481,0.08582213521003723,0.08640898019075394,0.09050104022026062,0.10219404846429825,0.09887806326150894,0.10160988569259644,0.09970276802778244,0.1028812974691391,0.10391216725111008,0.09868907183408737,0.10140370577573776,0.09788155555725098,0.09284744411706924,0.34786897897720337,121252,102646,5794,5541,7490,1329,9918,9928,143565,-3.0107688903808594,-2.130343437194824,-3.779510021209717,-2.6724367141723633,0,94,1149,418,1661,8736,7147,9918,4,1622,1612,2762,2819,5,1627,1630,2964,3702
1998,AK,161,8822,207,83,137,5,8,27,82,120,48,35,157,81,17,4,290,297,3,5,12,24,21,2,6,17,33,89,94,26,5,1,6,43,107,27,0,0,0,5,22,43,1,3,8,18,5,4,0,8,17,74,46,11,0,0,2,46,76,14,1,0,0,8,27,17,18,171,213,288,202,18,23,397,629,1050,979,113,12,17,64,440,823,145,12,0,0,34,257,228,39,188,248,383,394,62,84,453,741,1444,1786,319,39,20,81,644,1509,365,6823,3077,591,386,6133,NA,1,5,5,4,NA,36,0,0,57,477,531,162,661,1070,2471,3689,746,15,259,1055,2081,2746,2658,1101,2,142539,5413,5032,4810,4108,3811,3733,3615,3547,3629,3600,3851,3550,3515,3867,4376,4483,4684,4979,5110,5366,5734,5551,5803,5775,5819,5941,5679,5813,5873,5472,23174,18124,43781,61905,57460,0,15392,12018,30559,42577,42882,42882,997,878,1949,2827,2009,0,1048,917,1735,2652,1936,0,5737,4311,9538,13849,10633,0,0.23358073830604553,0.21713989973068237,0.207560196518898,0.1772676259279251,0.16445153951644897,0.06030207499861717,0.058395929634571075,0.0572974719107151,0.0586220808327198,0.05815362185239792,0.06220822408795357,0.057345934212207794,0.05678055062890053,0.06246668100357056,0.07068895548582077,0.07241741567850113,0.07566432654857635,0.08042968809604645,0.08254583925008774,0.08668120205402374,0.09979116171598434,0.09660633653402328,0.10099199414253235,0.10050469636917114,0.10127045214176178,0.10339366644620895,0.09883397072553635,0.10116603225469589,0.10221023112535477,0.09523146599531174,0.3417191505432129,119365,100851,5833,5636,7485,1314,9900,9915,142539,-3.046812057495117,-2.1126999855041504,-3.778013229370117,-2.667080879211426,0,101,1194,436,1731,8637,7110,9900,18,1626,1648,2770,2737,21,1632,1681,2965,3616
1999,AK,151,8742,193,84,161,9,8,17,66,118,59,37,148,76,16,2,277,312,0,7,5,24,20,9,9,11,32,82,107,33,3,0,3,39,105,39,3,0,0,4,25,31,0,0,8,16,13,2,0,5,13,80,47,5,1,1,1,54,102,6,0,0,0,5,44,23,15,153,196,278,233,31,37,307,646,1043,938,122,12,9,60,460,810,176,6,0,0,42,266,204,36,175,234,388,437,83,98,355,743,1450,1765,313,45,13,79,680,1480,416,6629,3284,591,426,6044,NA,5,8,4,3,NA,36,0,0,64,527,496,179,543,1056,2518,3682,812,20,257,1096,1960,2764,2713,1123,2,142181,5311,5143,5071,4133,3909,3810,3603,3693,3660,3719,3894,3931,3795,3901,4532,4517,4354,4648,4675,5065,5430,5398,5668,5706,5799,5857,5645,5835,5836,5643,23567,18485,43312,61797,56817,0,15440,12090,30074,42164,42054,42054,992,954,1862,2816,1999,0,1068,1005,1921,2926,1926,0,6067,4436,9455,13891,10838,0,0.22535748779773712,0.21822887659072876,0.21517376601696014,0.17537234723567963,0.16586752235889435,0.06165347993373871,0.058303799480199814,0.05976018309593201,0.059226177632808685,0.06018091365695,0.06301277130842209,0.06361149996519089,0.06141074746847153,0.06312604248523712,0.0733368918299675,0.07309416681528091,0.07045649737119675,0.07521400600671768,0.07565092295408249,0.08196190744638443,0.09556999057531357,0.0950067788362503,0.09975887835025787,0.10042768716812134,0.10206452012062073,0.10308534651994705,0.09935406595468521,0.10269813984632492,0.10271573811769485,0.09931886941194534,0.341239869594574,118614,99658,5807,5920,7437,1353,9913,9933,142181,-3.0438437461853027,-2.117387294769287,-3.737511157989502,-2.6632537841796875,0,92,1098,409,1599,8611,7061,9913,33,1625,1631,2714,2787,34,1634,1654,2885,3726
