coll_c3,child2,obs,stname,year
1772.1920166015625,4638.05224609375,351,AL,2004
2095.047119140625,5993.15771484375,348,AK,2004
1021.9532470703125,4472.990234375,727,AZ,2004
2503.69873046875,7657.1650390625,2827,CA,2004
1844.341796875,6417.16162109375,413,CO,2004
2687.011474609375,7951.87451171875,377,CT,2004
3895.211669921875,6905.19384765625,72,DE,2004
3149.063720703125,10306.8193359375,29,DC,2004
2108.7265625,6387.296875,1067,FL,2004
1586.61376953125,5945.86767578125,906,GA,2004
1136.5771484375,3906.315185546875,245,HI,2004
2419.06982421875,6831.4189453125,295,ID,2004
2221.93359375,7058.63916015625,1199,IL,2004
1292.7701416015625,3879.413330078125,392,IN,2004
2596.309814453125,6307.5859375,160,KS,2004
2486.23583984375,8969.9619140625,261,KY,2004
1456.466552734375,5261.11376953125,436,LA,2004
701.46197509765625,1910.51171875,101,ME,2004
3085.4033203125,10516.6708984375,442,MD,2004
3166.40185546875,7236.5927734375,537,MA,2004
1453.5032958984375,4090.582275390625,653,MI,2004
4536.96728515625,9188.013671875,353,MN,2004
2638.47998046875,5561.55517578125,424,MO,2004
3473.7978515625,6246.21630859375,201,NE,2004
1233.5072021484375,5917.93798828125,260,NV,2004
2195.364013671875,4582.3740234375,75,NH,2004
2706.26171875,8507.05078125,765,NJ,2004
2309.807861328125,7889.50830078125,1173,NY,2004
1195.5299072265625,3185.114501953125,24,NC,2004
1827.3487548828125,4586.46435546875,673,OH,2004
2588.57861328125,6403.568359375,90,OK,2004
2144.89404296875,4968.6513671875,460,OR,2004
1806.27294921875,4713.48974609375,1082,PA,2004
1442.69921875,3531.751708984375,30,RI,2004
1948.83203125,4496.90380859375,447,SC,2004
1475.1416015625,3692.247802734375,332,TN,2004
1255.416015625,4228.3466796875,1847,TX,2004
757.87335205078125,2430.041015625,508,UT,2004
2071.67041015625,4202.53857421875,18,VT,2004
3142.038818359375,7651.06005859375,811,VA,2004
1595.4652099609375,4294.1416015625,494,WA,2004
1114.92529296875,5869.658203125,15,WV,2004
2391.110595703125,5349.810546875,424,WI,2004
NA,NA,NA,AR,2004
NA,NA,NA,IA,2004
NA,NA,NA,MS,2004
NA,NA,NA,MT,2004
NA,NA,NA,NM,2004
NA,NA,NA,ND,2004
NA,NA,NA,SD,2004
NA,NA,NA,WY,2004
2953.45263671875,6224.87158203125,189,AL,2019
4303.18115234375,9462.94921875,83,AK,2019
2880.04296875,6320.361328125,172,AZ,2019
3339.571044921875,8725.2861328125,1033,CA,2019
5303.130859375,10014.0283203125,164,CO,2019
3244.6240234375,7806.2802734375,100,CT,2019
2522.774169921875,4351.62451171875,20,DE,2019
1000.60546875,2966.365966796875,10,DC,2019
2994.97314453125,7066.81298828125,340,FL,2019
2282.8466796875,5593.1572265625,160,GA,2019
1694.3809814453125,4728.919921875,96,HI,2019
3719.087646484375,8568.3916015625,293,IL,2019
2521.9443359375,11553.119140625,31,IN,2019
8628.6259765625,11443.0283203125,18,IA,2019
2201.486083984375,4709.37744140625,74,KS,2019
2067.490234375,5508.0263671875,90,KY,2019
1702.0914306640625,5105.16455078125,91,LA,2019
7155.4912109375,13680.705078125,155,MD,2019
3930.54443359375,10754.380859375,186,MA,2019
2955.542724609375,7144.341796875,190,MI,2019
4229.08251953125,7548.8408203125,156,MN,2019
2692.86328125,6311.40576171875,25,MS,2019
4271.00439453125,9384.943359375,93,MO,2019
6052.76220703125,11026.5546875,179,NE,2019
1965.1553955078125,5607.4404296875,91,NV,2019
5197.41455078125,12431.5732421875,9,NH,2019
4184.3486328125,9100.2939453125,212,NJ,2019
5051.5830078125,11517.29296875,408,NY,2019
3899.0185546875,8529.4814453125,380,NC,2019
3981.134765625,7712.8955078125,288,OH,2019
2551.959228515625,6014.54248046875,76,OK,2019
4833.6884765625,8470.7685546875,138,OR,2019
3675.769287109375,7732.52587890625,282,PA,2019
4468.98388671875,8748.076171875,80,SC,2019
2519.75390625,4740.669921875,97,TN,2019
2817.96044921875,7424.03955078125,613,TX,2019
1697.0560302734375,4623.52978515625,411,UT,2019
6656.583984375,12776.0888671875,147,VA,2019
4039.34228515625,9160.763671875,163,WA,2019
12240,12240,1,WV,2019
3055.28466796875,8767.3798828125,179,WI,2019
NA,NA,NA,AR,2019
NA,NA,NA,ID,2019
NA,NA,NA,ME,2019
NA,NA,NA,MT,2019
NA,NA,NA,NM,2019
NA,NA,NA,ND,2019
NA,NA,NA,RI,2019
NA,NA,NA,SD,2019
NA,NA,NA,VT,2019
NA,NA,NA,WY,2019
