year,parental,delay,sexed,sexedcont,stname,unemp,contmand,aca_mcaid_exp,logben3,tadexpmil,logrstateminwage,sexed1mis,sexed2mis,pctwhitenh,pcthisp,pcthsdrop,pcthsgrad,pctsomecol,pctmarried
2001,0,0,1,0,AK,6.199999809265137,0,0,7.019396781921387,22.09239387512207,1.923423171043396,0,0,74.23502349853516,3.5484700202941895,14.296734809875488,29.853431701660156,32.29621887207031,57.75263595581055
2002,0,0,1,0,AK,7.099999904632568,0,0,7.0037102699279785,20.96450424194336,2.143193483352661,0,0,74.46436309814453,4.0227370262146,14.123305320739746,30.03935432434082,32.88150405883789,58.220375061035156
2003,0,0,1,0,AK,7.699999809265137,0,0,6.981175899505615,21.682477951049805,2.1206588745117188,0,0,71.76165771484375,4.90069055557251,14.032814979553223,31.36874008178711,31.88687515258789,57.2322998046875
2004,0,0,1,0,AK,7.400000095367432,0,0,6.957058429718018,20.889915466308594,2.094376802444458,0,0,68.01361083984375,4.870267868041992,14.142918586730957,31.029348373413086,32.411739349365234,56.31645965576172
2005,0,0,1,0,AK,6.900000095367432,0,0,6.921574592590332,21.250425338745117,2.0610578060150146,0,0,73.63593292236328,4.186264991760254,12.276576042175293,29.11570930480957,34.68955612182617,56.6086540222168
2006,0,0,0,0,AK,6.5,0,0,6.889825820922852,22.959135055541992,2.029309034347534,0,0,72.99356842041016,3.548464059829712,11.812335968017578,28.363895416259766,35.29411697387695,56.27530288696289
2007,0,0,0,0,AK,6.099999904632568,0,0,6.86174201965332,23.327695846557617,2.001224994659424,0,0,73.51009368896484,4.1295166015625,12.717034339904785,28.718910217285156,33.740028381347656,56.49929428100586
2008,0,0,0,0,AK,6.400000095367432,0,0,6.824065208435059,24.008787155151367,1.9635483026504517,0,0,75.14862823486328,3.7336506843566895,11.819263458251953,31.343637466430664,33.07966613769531,55.933414459228516
2009,0,0,0,0,AK,7.800000190734863,0,0,6.827629089355469,24.373167037963867,1.967112421989441,0,0,74.583526611328125,3.9029033184051514,12.018086433410645,30.794858932495117,32.69871520996094,56.306522369384766
2010,0,0,0,0,AK,7.900000095367432,0,0,6.811359405517578,25.60244369506836,2.0314230918884277,0,0,74.11907958984375,3.766707181930542,12.685297966003418,30.060752868652344,34.046173095703125,55.84447479248047
2011,0,0,0,0,AK,7.599999904632568,0,0,6.780282020568848,27.558103561401367,2.0003459453582764,0,0,74.16497802734375,4.175101280212402,11.867408752441406,30.38967514038086,33.8815803527832,54.70647430419922
2012,0,0,0,0,AK,7.099999904632568,0,0,6.759799003601074,28.13970184326172,1.9798625707626343,0,0,73.924591064453125,4.3813066482543945,12.055231094360352,29.28837013244629,34.04142379760742,54.1954345703125
2013,0,0,0,0,AK,7,0,0,6.745257377624512,29.9847469329834,1.9653211832046509,0,0,73.354736328125,5.377207279205322,10.888175964355469,28.0363826751709,33.012306213378906,56.44729995727539
2014,0,0,0,0,AK,6.900000095367432,0,0,6.729166030883789,28.319454193115234,1.9492295980453491,0,0,71.09733581542969,4.880021572113037,10.676732063293457,30.008089065551758,31.895387649536133,56.376380920410156
2015,0,0,0,0,AK,6.5,0,1,6.72797966003418,27.979049682617188,2.069404125213623,0,0,65.59169006347656,5.410447597503662,11.48720645904541,31.263324737548828,29.744136810302734,56.31663131713867
2016,0,0,0,0,AK,6.900000095367432,0,1,6.7154436111450195,28.469499588012695,2.165081262588501,0,0,66.64886474609375,5.100133895874023,11.081441879272461,30.013349533081055,28.83845329284668,55.700931549072266
2017,0,0,0,0,AK,6.900000095367432,0,1,6.694363594055176,25.112831115722656,2.1491167545318604,0,0,67.74916076660156,3.9473683834075928,10.330347061157227,30.767078399658203,30.599102020263672,54.19932556152344
2018,0,0,0,0,AK,6.5,0,1,6.67023229598999,26.32012367248535,2.129058837890625,0,0,65.43389892578125,4.892253875732422,9.114734649658203,30.751310348510742,32.2364616394043,53.407108306884766
2019,0,0,0,0,AK,6.099999904632568,0,1,6.6522746086120605,26.617538452148438,2.146052360534668,0,0,66.23226165771484,4.7205328941345215,9.614828109741211,30.813785552978516,30.46626091003418,53.48971939086914
2001,1,0,1,1,AL,4.699999809265137,0,0,5.2916340827941895,54.27895736694336,1.8307644128799438,0,0,74.10498809814453,1.054249882698059,23.193498611450195,32.70370864868164,26.070722579956055,57.63233184814453
2002,1,0,1,1,AL,5.400000095367432,0,0,5.275947570800781,62.81331253051758,1.8150779008865356,0,0,73.24470520019531,1.51641047000885,23.452430725097656,32.01080322265625,25.301204681396484,57.519737243652344
2003,1,0,1,1,AL,5.400000095367432,0,0,5.524184703826904,64.23381042480469,1.7925432920455933,0,0,71.39534759521484,1.2262157201766968,22.87526512145996,32.5158576965332,25.179702758789062,57.44186019897461
2004,1,0,1,1,AL,5,0,0,5.4979023933410645,62.916748046875,1.7662612199783325,0,0,69.86177062988281,1.359619379043579,21.096757888793945,32.49489974975586,26.60321807861328,57.96510314941406
2005,1,0,1,1,AL,3.799999952316284,0,0,5.464583396911621,61.16916275024414,1.7329421043395996,0,0,69.94279479980469,1.0660425424575806,21.424856185913086,33.619346618652344,25.923036575317383,56.34425354003906
2006,1,0,1,1,AL,3.5,0,0,5.432834625244141,61.58247375488281,1.7011934518814087,0,0,69.076751708984375,1.8353726863861084,21.106786727905273,34.816463470458984,25.417131423950195,54.56061935424805
2007,1,0,1,1,AL,3.4000000953674316,0,0,5.404750823974609,62.79798126220703,1.6731094121932983,0,0,66.647247314453125,2.6798717975616455,21.14768409729004,33.96446228027344,25.895719528198242,54.587825775146484
